Codigo_Litigio,Item_Fatura,Status,Empresa,Centro,Grupo_Compradores,Data_Criacao,Fornecedor,Nome_Fornecedor,Documento_Compras,Item,Material,Descricao_Material,Referencia,Quantidade,Preco_Contrato,Preco_Fatura,Valor_Diferenca,Montante,Item_Contrato,
2833451,1,NFL,483,FAS,SCO,20/5/2025,101384,FORNECEDOR,4508692946,10,739102859R,PEÇA,000401604-1,180,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 943,20",4600016840,750
2833691,1,NFL,483,FAS,SCO,20/5/2025,101517,FORNECEDOR,4508692949,10,484005466R,PEÇA,000839697-1,360,"R$ 297,57","R$ 327,90","R$ 30,33","R$ 10.918,80",586909,90
2833808,1,NFL,483,FAS,SCO,20/5/2025,104535,FORNECEDOR,4508559301,10,546111085R,PEÇA,354462-2,81,"R$ 84,62","R$ 88,20","R$ 3,58","R$ 289,98",732477,10
2835271,1,NFL,483,SJP,SCO,21/5/2025,102318,FORNECEDOR,4508698501,10,620224263R,PEÇA,000242075-3,55,"R$ 163,03","R$ 168,34","R$ 5,31","R$ 292,05",662290,10
2835500,1,NFL,483,SJP,SCO,22/5/2025,132610,FORNECEDOR,4508698761,10,668356799R,PEÇA,000084593-1,2.600,"R$ 0,68","R$ 0,89","R$ 0,21","R$ 546,00",576332,110
2835511,1,NFL,483,SJP,SCO,22/5/2025,101384,FORNECEDOR,4508697262,10,739102859R,PEÇA,000401781-1,195,"R$ 127,57","R$ 132,63","R$ 5,06","R$ 986,70",526162,340
2835512,1,NFL,483,SJP,SCO,22/5/2025,101384,FORNECEDOR,4508697263,10,739105089R,PEÇA,000401782-1,300,"R$ 127,57","R$ 132,63","R$ 5,06","R$ 1.518,00",526162,350
2835526,1,NFL,483,FAS,SCO,22/5/2025,101384,FORNECEDOR,4508697086,10,739102859R,PEÇA,000401814-1,180,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 943,20",4600016840,750
2836452,1,NFL,483,FAS,SCO,23/5/2025,101517,FORNECEDOR,4508697198,10,484005920R,PEÇA,000840128-1,80,"R$ 186,96","R$ 206,02","R$ 19,06","R$ 1.524,80",586909,180
2836488,1,NFL,483,FAS,SCO,23/5/2025,101517,FORNECEDOR,4508697199,10,484005920R,PEÇA,000840148-1,40,"R$ 186,96","R$ 206,02","R$ 19,06","R$ 762,40",586909,180
2836489,1,NFL,483,FAS,SCO,23/5/2025,101517,FORNECEDOR,4508697200,10,484005466R,PEÇA,000840150-1,280,"R$ 297,57","R$ 327,90","R$ 30,33","R$ 8.492,40",586909,90
2836511,1,NFL,483,FAS,SCO,23/5/2025,101384,FORNECEDOR,4508699268,10,739102859R,PEÇA,000401935-1,90,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 471,60",4600016840,750
2836512,1,NFL,483,FAS,SCO,23/5/2025,101384,FORNECEDOR,4508699269,10,739105089R,PEÇA,000401936-1,45,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 235,80",4600016840,730
2836883,1,NFL,483,FAS,SCO,23/5/2025,101517,FORNECEDOR,4508699392,10,484005466R,PEÇA,000840286-1,40,"R$ 297,57","R$ 327,90","R$ 30,33","R$ 1.213,20",586909,90
2836883,2,NFL,483,FAS,SCO,23/5/2025,101517,FORNECEDOR,4508699392,20,484005920R,PEÇA,000840286-1,24,"R$ 186,96","R$ 206,02","R$ 19,06","R$ 457,44",586909,180
2837080,11,NFL,483,FAS,SCO,23/5/2025,108060,FORNECEDOR,4508700813,80,62010W823R,PEÇA,000047707-3,1,"R$ 601,39","R$ 662,69","R$ 61,30","R$ 61,30",742308,50
2837362,21,NFL,483,FAS,SCO,23/5/2025,108060,FORNECEDOR,4508700870,120,62010W823R,PEÇA,000047709-3,4,"R$ 601,39","R$ 662,69","R$ 61,30","R$ 245,20",742308,50
2837944,5,NFL,483,SJP,SCO,24/5/2025,132610,FORNECEDOR,4508670588,50,682380471R,PEÇA,000084222-1,1.800,"R$ 4,66","R$ 5,46","R$ 0,80","R$ 1.440,00",576332,180
2838025,1,NFL,483,SJP,SCO,24/5/2025,132610,FORNECEDOR,4508698762,10,668356799R,PEÇA,000084594-1,2.600,"R$ 0,68","R$ 0,89","R$ 0,21","R$ 546,00",576332,110
2838108,1,NFL,483,SJP,SCO,24/5/2025,136123,FORNECEDOR,4508703835,10,112982531R,PEÇA,000698941-1,9.000,"R$ 0,23","R$ 1,79","R$ 1,56","R$ 14.040,00",729856,20
2838131,1,NFL,483,FAS,SCO,24/5/2025,101384,FORNECEDOR,4508703118,10,739102859R,PEÇA,000402070-1,90,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 471,60",4600016840,750
2838132,1,NFL,483,FAS,SCO,24/5/2025,101384,FORNECEDOR,4508703119,10,739105089R,PEÇA,000402071-1,45,"R$ 99,13","R$ 104,37","R$ 5,24","R$ 235,80",4600016840,730
2838871,1,NFL,483,FAS,SCO,25/5/2025,119957,FORNECEDOR,4508700363,10,278320982R,PEÇA,206097-1,35,"R$ 3,38","R$ 37,79","R$ 34,41","R$ 1.204,35",542428,50
2838871,2,NFL,483,FAS,SCO,25/5/2025,119957,FORNECEDOR,4508700363,20,279327771R,PEÇA,206097-1,35,"R$ 3,34","R$ 3,83","R$ 0,49","R$ 17,15",542428,70
2838871,3,NFL,483,FAS,SCO,25/5/2025,119957,FORNECEDOR,4508700363,30,279335128R,PEÇA,206097-1,35,"R$ 3,33","R$ 3,94","R$ 0,61","R$ 21,35",542428,100
2838885,4,NFL,483,SJP,SCO,25/5/2025,112619,FORNECEDOR,4508621211,40,62010J571R,PEÇA,809409-1,252,"R$ 65,73","R$ 66,41","R$ 0,68","R$ 171,36",721563,10
2839019,1,NFL,483,FAS,SCO,25/5/2025,120639,FORNECEDOR,4508703729,10,432007885R,PEÇA,182699-1,960,"R$ 47,17","R$ 48,84","R$ 1,67","R$ 1.603,20",585336,20
2839744,1,NFL,483,SJP,SCO,26/5/2025,112619,FORNECEDOR,4508691026,10,62010J571R,PEÇA,813562-1,420,"R$ 65,73","R$ 66,41","R$ 0,68","R$ 285,60",721563,10
2839813,1,NFL,483,SJP,SCO,26/5/2025,102318,FORNECEDOR,4508708485,10,620224263R,PEÇA,000242204-3,220,"R$ 163,03","R$ 168,34","R$ 5,31","R$ 1.168,20",662290,10
2839903,1,NFL,483,SJP,SCO,27/5/2025,146712,FORNECEDOR,4508678959,10,132011477R,PEÇA,5467-7,4.158,"R$ 4,26","R$ 4,64","R$ 0,38","R$ 1.580,04",726733,10
2840646,1,NFL,483,SJP,SCO,27/5/2025,112619,FORNECEDOR,4508674524,10,62010J571R,PEÇA,812850-1,420,"R$ 65,73","R$ 66,41","R$ 0,68","R$ 285,60",721563,10
2840977,3,NFL,483,FVU,SCO,28/5/2025,104290,FORNECEDOR,4508704982,30,755237722R,PEÇA,000062325-3,360,"R$ 16,48","R$ 16,99","R$ 0,51","R$ 183,60",635676,20
2840977,4,NFL,483,FVU,SCO,28/5/2025,104290,FORNECEDOR,4508704982,40,756103395R,PEÇA,000062325-3,240,"R$ 37,46","R$ 39,42","R$ 1,96","R$ 470,40",635676,30
2841121,1,NFL,483,SJP,SCO,28/5/2025,101384,FORNECEDOR,4508711562,10,739105089R,PEÇA,000402453-1,135,"R$ 127,57","R$ 132,63","R$ 5,06","R$ 683,10",526162,350
2841928,1,NFL,483,SJP,SCO,29/5/2025,101384,FORNECEDOR,4508713820,10,739102859R,PEÇA,000402456-1,360,"R$ 127,57","R$ 132,63","R$ 5,06","R$ 1.821,60",526162,340
2843395,1,NFL,483,SJP,SCO,30/5/2025,102318,FORNECEDOR,4508714801,10,620224263R,PEÇA,000242312-003,10,"R$ 163,03","R$ 168,34","R$ 5,31","R$ 53,10",662290,10
